task_inputs-model,task_inputs-execution_type,task_inputs-GPU,task_inputs-n_gpus,task_inputs-precision,request_throughput-unit,request_throughput-avg,request_latency-unit,request_latency-avg,request_latency-p95,time_to_first_token-unit,time_to_first_token-avg,time_to_first_token-p95,inter_token_latency-unit,inter_token_latency-avg,inter_token_latency-p95,output_token_throughput-unit,output_token_throughput-avg,output_token_throughput_per_request-unit,output_token_throughput_per_request-avg,output_token_throughput_per_request-p95,num_output_token-unit,num_output_token-avg,num_output_token-p95,num_input_token-unit,num_input_token-avg,num_input_token-p95,input_config-model,input_config-backend,input_config-extra_inputs-max_tokens,input_config-stability_percentage,input_config-concurrency,input_config-synthetic_input_tokens_mean,input_config-synthetic_input_tokens_stddev,input_config-output_tokens_mean
meta-llama3-8b-instruct,NIM_TRT-LLM,A100-SXM4-80GB,2,fp16,requests/sec,0.058554338317442764,ns,17076774152.25,17098130343.45,ns,23401812.916666668,26391782.999999996,ns,8530951.645489411,8930116.0,tokens/sec,117.10867663488553,tokens/sec,117.11818383182764,117.18322872938249,tokens,2000.0,2000.0,tokens,199.33333333333334,200.0,meta-llama3-8b-instruct,tensorrtllm,2000,999,1,200,0,2000
meta-llama3-8b-instruct,NIM_TRT-LLM,A100-SXM4-80GB,2,fp16,requests/sec,2.709264170266749,ns,92109589685.60667,92339604386.5,ns,1260585737.8746667,1866916422.75,ns,45446234.56582179,71973491.49999996,tokens/sec,5418.528340533498,tokens/sec,21.713334126295024,21.812513286275653,tokens,2000.0,2000.0,tokens,199.65466666666666,200.0,meta-llama3-8b-instruct,tensorrtllm,2000,999,250,200,0,2000
meta-llama3-8b-instruct,NIM_TRT-LLM,A100-SXM4-80GB,2,fp16,requests/sec,2.4334174150961787,ns,61460453622.45333,61665422010.85,ns,572889735.6083333,1198764364.7,ns,30459024.847636517,41316381.7,tokens/sec,4866.834830192358,tokens/sec,32.54146131778173,32.699126992175096,tokens,2000.0,2000.0,tokens,199.66,200.0,meta-llama3-8b-instruct,tensorrtllm,2000,999,150,200,0,2000
meta-llama3-8b-instruct,NIM_TRT-LLM,A100-SXM4-80GB,2,fp16,requests/sec,0.2799696465778619,ns,17856772348.516666,17893442113.55,ns,52114818.55,79019366.55,ns,8906782.156061364,9417756.0,tokens/sec,559.9392931557237,tokens/sec,112.0023688926106,112.07136665484538,tokens,2000.0,2000.0,tokens,199.63333333333333,200.0,meta-llama3-8b-instruct,tensorrtllm,2000,999,5,200,0,2000
meta-llama3-8b-instruct,NIM_TRT-LLM,A100-SXM4-80GB,2,fp16,requests/sec,0.521038529555968,ns,19188591118.272728,19214721063.8,ns,84324432.46363637,113082826.4,ns,9556911.798803948,10449298.4,tokens/sec,1042.077059111936,tokens/sec,104.228627948201,104.29355634356696,tokens,2000.0,2000.0,tokens,199.64545454545456,200.0,meta-llama3-8b-instruct,tensorrtllm,2000,999,10,200,0,2000
meta-llama3-8b-instruct,NIM_TRT-LLM,A100-SXM4-80GB,2,fp16,requests/sec,2.1466766181730312,ns,46536170264.13167,46634151079.05,ns,549243373.6816666,812349955.4,ns,23004378.172725506,29503488.0,tokens/sec,4293.353236346063,tokens/sec,42.9773766349779,43.06223509305298,tokens,2000.0,2000.0,tokens,199.66,200.0,meta-llama3-8b-instruct,tensorrtllm,2000,999,100,200,0,2000
meta-llama3-8b-instruct,NIM_TRT-LLM,A100-SXM4-80GB,2,fp16,requests/sec,1.0911299161039656,ns,22904250367.24889,22960567068.2,ns,157420195.29333332,255295931.0,ns,11379079.86030839,12996461.0,tokens/sec,2182.259832207931,tokens/sec,87.32013058773126,87.45645319283702,tokens,2000.0,2000.0,tokens,199.63555555555556,200.0,meta-llama3-8b-instruct,tensorrtllm,2000,999,25,200,0,2000
meta-llama3-8b-instruct,NIM_TRT-LLM,A100-SXM4-80GB,2,fp16,requests/sec,2.542609599193066,ns,78393639456.80333,78644552245.55,ns,1026551876.74,1727326529.4,ns,38702851.56876342,56114769.90000001,tokens/sec,5085.219198386132,tokens/sec,25.51235632499845,25.615090534959535,tokens,2000.0,2000.0,tokens,199.66,200.0,meta-llama3-8b-instruct,tensorrtllm,2000,999,200,200,0,2000
meta-llama3-8b-instruct,NIM_TRT-LLM,A100-SXM4-80GB,2,fp16,requests/sec,0.38667843348963493,ns,12929380152.6625,12956892976.55,ns,1231375614.775,1462881240.9499998,ns,11709713.264384214,11794475.0,tokens/sec,386.6784334896349,tokens/sec,77.34329392110223,77.45893350545444,tokens,1000.0,1000.0,tokens,6999.6875,7000.0,meta-llama3-8b-instruct,tensorrtllm,1000,999,5,7000,0,1000
meta-llama3-8b-instruct,NIM_TRT-LLM,A100-SXM4-80GB,2,fp16,requests/sec,0.8634474000085182,ns,57207389918.11455,61562981461.7,ns,2780317762.6454544,7385436642.6,ns,54482012.30905302,44629042.0,tokens/sec,863.4474000085182,tokens/sec,17.499252423035202,17.64206938401217,tokens,1000.0,1000.0,tokens,6999.652727272727,7000.0,meta-llama3-8b-instruct,tensorrtllm,1000,999,50,7000,0,1000
meta-llama3-8b-instruct,NIM_TRT-LLM,A100-SXM4-80GB,2,fp16,requests/sec,0.16984494004881945,ns,11774289607.63889,11813940542.25,ns,462948682.0277778,606136075.0,ns,11322664.013320727,11430577.0,tokens/sec,169.84494004881947,tokens/sec,84.9309350486731,84.99509805166122,tokens,1000.0,1000.0,tokens,6999.472222222223,7000.0,meta-llama3-8b-instruct,tensorrtllm,1000,999,2,7000,0,1000
meta-llama3-8b-instruct,NIM_TRT-LLM,A100-SXM4-80GB,2,fp16,requests/sec,0.0884634223231583,ns,11303322391.88889,11318098096.2,ns,319856425.5555556,332675004.4,ns,10994515.58442714,11207795.45,tokens/sec,88.4634223231583,tokens/sec,88.46961893791989,88.53855691197296,tokens,1000.0,1000.0,tokens,6999.555555555556,7000.0,meta-llama3-8b-instruct,tensorrtllm,1000,999,1,7000,0,1000
meta-llama3-8b-instruct,NIM_TRT-LLM,A100-SXM4-80GB,2,fp16,requests/sec,0.9369532547327744,ns,231872100151.68927,277650642543.8,ns,111026425114.04463,156731466577.0,ns,120966757.75177906,94544757.0,tokens/sec,936.9532547327744,tokens/sec,4.602708514249208,7.703386289817629,tokens,1000.0,1000.0,tokens,6999.652892561983,7000.0,meta-llama3-8b-instruct,tensorrtllm,1000,999,250,7000,0,1000
